iter	Logloss
0	0.677399448
11	0.662679122622	0.65119816
3	0.6418414317
4	0.6321965603555	0.618478528666	0.6102198667	7	0.60255091688	0.596177489499	0.5910167202110	0.5856827313111	0.5808002191112	0.5752169587113	0.5709128177114	0.566803976
15	0.5618648569
16	0.5548880432
17	0.5510537685
18	0.5477594064
19	0.5453007567
20	0.5425427385
21	0.5391709305
22	0.5364128075
23	0.533769901
24	0.5319823937
25	0.5295808138
26	0.5268460559
27	0.5244210225
28	0.521986945
29	0.5201761782
30	0.5186080771
31	0.5164990313
32	0.5152936666
33	0.5134740963
34	0.5120297944
35	0.5108539728
36	0.5096342141
37	0.5074812606
38	0.5062776677
39	0.5048067145
40	0.5033778116
41	0.5026613285
42	0.5017776402
43	0.5003609181
44	0.4988503827
45	0.4976439138
46	0.4966828442
47	0.4955129214
48	0.494284118
49	0.4933130205
50	0.4923398703
51	0.4908884334
52	0.4898344161
53	0.4884490729
54	0.4873002098
55	0.4862795831
56	0.485251084
57	0.4844901196
58	0.4832085574
59	0.4831030123
60	0.4822687287
61	0.4817092254
62	0.4807375095
63	0.4795578067
64	0.4785745805
65	0.4775868246
66	0.4766264334
67	0.4756025868
68	0.474799476
69	0.474016726
70	0.4727511654
71	0.471575687
72	0.4709561428
73	0.470081612
74	0.4694944649
75	0.4685235184
76	0.4678833144
77	0.4668724821
78	0.466242078
79	0.4653059401
80	0.4645898099
81	0.4640206274
82	0.4630307149
83	0.4625499542
84	0.4618941454
85	0.4612070776
86	0.4603053939
87	0.4596526039
88	0.4587194316
89	89	0.4726338290	90	0.4721834591	91	0.4712556249
92	0.4705560866
93	0.470141729
94	0.4694489334
95	0.4686863901
96	0.4682733257
97	0.4675784455
98	0.4669058199
99	0.4663800929
100	0.4657315361
101	0.4652722699
102	0.4645500086
103	0.4637857987
104	0.4629191489
105	0.4624705896
106	0.4619914226
107	0.4614100291
108	0.4607611306
109	0.4603283806
110	0.4594961898
111	0.45882366111112	0.45823105113	0.4498722635
114	0.4488398176
115	0.4484848431
116	0.4479091277
117	0.4473181745
118	0.4465281061119	0.44608247441120	0.44552975512121	0.44493853312122	0.44406333012123	0.44344551012124	0.44317689112125	0.442077063126	0.4343734874
127	0.4338012471
128	0.4334698442
129	0.4329295166
130	0.4323529459
131	0.431990436
132	0.4312998674
133133	0.43669843134134	0.4361366135135	0.43557988136136	0.43518243137137	0.43432573138138	0.43353927139	0.4263001749
140140	0.4319941141	141	0.4308710142	142	0.4299328143	0.4238336295
144	0.4229446994
145145	0.42821919146146	0.42740266147147	0.426747511481148	0.4349215149149	0.42588190150150	0.42520968151	0.4187612679
152	0.4181130847
153	0.4175778806
154	0.4170635261
155	0.4165881657
156	0.4160912112
157	0.4156779099
158	0.4149839728
159	0.4143107125
160	0.4137849325
161	161	0.42656481621162	0.42585591971163	0.42533434741164	0.4246971823165	0.4149861845
1166	0.42366421416167	0.42316782316168	0.42256270316169	0.42184443170	0.4120312048
171	0.411361607
172	0.4108863495
173	0.4099852065
174	0.40934985
175	0.4083937398
176	0.4077903324
177	0.4070182493
178	0.406283433
179	0.4058870046
180	0.4052572365
181	0.4048474582
182	0.4040875344
183	0.4035531699
184	0.4027331937
185	0.4023549458
186	0.4015593908
187	0.4010310681
188	0.4006539081
189	0.4000190963
190	0.399090748
191	0.3985385789
192	0.3976552458
193	0.397260278
194	0.3964993468
195	0.3960048895
196	0.3953030423
197	0.394914973
198	0.3942939679
199	0.3932830267
200	0.392690386
201	0.3921127195
202	0.3915000967
203	0.391061017
204	0.390210276
205	0.3898877987
206	0.3890733823
207	0.3883850118
208	0.3879869747
209	0.3873923779
210	0.3867775133
211	0.3864504663
212	0.3861742421
213	0.3852789835
214	0.3850117354
215	0.3843847663
216	0.3837325539
217	0.3832739187
218	0.3829317335
219	0.3824404844
220	0.3821584431
221	0.38177593
222	0.3810055498
223	0.3805180898
224	0.3800472952
225	0.3794141445
226	0.3788936066
227	0.3783048563
228	0.3777187905
229	0.3771180171
230	0.3765212831
231	0.375868744
232	0.3753362349
233	0.3746936757
234	0.3740605506
235	0.373160366
236	0.3726644136
237	0.3721959446
238	0.3714852858
239	0.3710489853
240	0.3706628479
241	0.3700661149
242	0.3696008196
243	0.3689375043
244	0.3686422381
245	0.3681659141
246	0.3676510528
247	0.3670433154
248	0.3666980535
249	0.3660031738
250	0.3653963625
251	0.3648775346
252	0.3641070675
253	0.3637531558
254	0.3631518671
255	0.3626600365
256	0.3623116037
257	0.3617226865
258	0.3612904175
259	0.3610775574
260	0.3607992358
261	0.3601680186
262	0.3598069141
263	0.3594769777
264	0.3592343535
265	0.358867085
266	0.3580853081
267	0.3579753704
268	0.3574975293
269	0.3568292242
270	0.3563974844
271	0.3558868017
272	0.3552243835
273	0.354633677
274	0.3542377085
275	0.3536565051
276	0.3531050932
277	0.3528562402
278	0.3523242004
279	0.3516412428
280	0.351143123
281	0.3506385787
282	0.3502538472
283	0.3496929297
284	0.3493810613
285	0.3489566405
286	0.3486187656
287	0.3482488212
288	0.3477294122
289	0.3473941595
290	0.3469806699
291	0.3465680198
292	0.3461051185
293	0.3458199493
294	0.3452774024
295	0.3450505142
296	0.3447789037
297	0.3443634012
298	0.3438128382
299	0.3433875928

2509
